CountryCode,Year,TreeCoverLoss_ha,GrossEmissions_Co2_all_gases_Mg
GNB,2004,3539.10216,1167343.224
GNQ,2004,421.4307721,241159.4973
GRC,2004,6813.690617,1751997.193
GRD,2004,631.0175742,374504.9369
GTM,2004,56448.60918,23522940.56
GUF,2004,4805.025467,3585446.114
GUY,2004,4062.36701,2620874.833
HKG,2004,18.88890724,7164.525919
HND,2004,26455.07106,11495412.1
HRV,2004,6727.12796,2381710.78
HTI,2004,2382.72801,816345.4385
HUN,2004,12008.50913,4345633.021
IDN,2004,1289042.657,926685214.3
IMN,2004,8.57891682,2803.272862
IND,2004,74129.19983,35570280.94
IRL,2004,6865.772989,2921078.851
IRN,2004,276.0028258,65061.12688
IRQ,2004,4.421485863,1037.195803
ISR,2004,67.69178197,14367.42055
ITA,2004,17224.87734,4551816.904
JAM,2004,3901.152525,1843574.766
JEY,2004,1.164486755,380.3091691
JOR,2004,2.285148839,485.0642715
JPN,2004,37312.53504,14951933.65
KAZ,2004,5513.10185,1103132.712
KEN,2004,16988.3283,7525839.532
KGZ,2004,192.268986,51232.5984
KHM,2004,79250.90741,41588145.68
KNA,2004,25.0763394,10507.79714
KOR,2004,11406.23474,3129264.5
LAO,2004,64248.47656,33593576.97
LBN,2004,109.2798766,25592.34837
LBR,2004,6233.559719,2905430.119
LBY,2004,10.26316376,1964.493382
LCA,2004,40.20301619,19082.32442
LIE,2004,9.430858215,4724.741998
LKA,2004,5599.447793,1877286.598
LSO,2004,4.377548763,1105.537608
LTU,2004,13100.96703,3672501.962
LUX,2004,311.4913424,155913.1013
LVA,2004,30638.90654,8160689.932
MAF,2004,1.611069718,575.4512049
MAR,2004,1440.577721,372559.0754
MDA,2004,264.0361809,67248.40556
MDG,2004,81845.25203,39401560.9
MDV,2004,2.372010473,204.4817364
MEX,2004,169841.4503,55047884.7
MKD,2004,2200.45235,787793.6643
MLI,2004,153.3126343,45873.77566
MLT,2004,2.504050279,602.0885462
MMR,2004,102186.3236,52551139.31
MNE,2004,915.3286137,361431.8754
MNG,2004,53302.97359,10188468.32
MOZ,2004,107725.6994,34105443.83
